DOM,SQFT,BEDS,BATHS,AGE,zip_cluster
20,1177,3,1.0,113,1852.0
19,1752,3,2.5,118,1602.0
17,1688,2,2.5,4,2129.0
36,640,1,1.0,48,2762.0
273,758,1,1.0,12,2333.0
66,930,2,1.0,48,2360.0
49,1561,2,2.5,33,2130.0
24,1460,2,3.5,30,2458.0
69,1440,2,2.0,23,2125.0
69,1100,2,1.0,118,1930.0
56,1200,2,1.5,34,1832.0
9,504,1,1.0,132,1746.0
24,850,2,1.0,118,2127.0
79,720,1,1.0,293,2155.0
6,724,1,1.0,51,2111.0
49,1311,2,1.5,88,2127.0
23,900,2,2.0,4,2118.0
65,1660,3,1.5,174,2125.0
71,863,2,2.0,31,2459.0
17,1339,3,2.5,22,2446.0
59,1020,3,1.0,118,1850.0
21,1351,2,2.0,138,2718.0
20,1260,2,1.0,123,1609.0
35,1195,2,1.0,123,2115.0
14,765,1,1.0,43,2130.0
86,1175,2,1.5,118,1803.0
50,2751,3,2.0,34,2458.0
16,822,2,1.0,118,1702.0
27,2088,2,2.5,25,1867.0
13,1703,3,1.5,16,2127.0
20,2000,2,2.5,31,2116.0
32,1343,3,1.5,27,1748.0
38,1640,2,2.0,12,1760.0
10,1184,2,2.5,14,2762.0
47,1112,2,1.0,108,2445.0
22,1145,2,1.0,118,2446.0
14,955,2,1.5,118,2129.0
27,868,1,1.0,13,2019.0
9,850,2,1.0,44,2472.0
19,1290,2,1.5,48,2145.0
65,2059,2,2.5,12,2128.0
6,1026,2,1.0,118,2453.0
20,1015,2,1.0,-7981,2144.0
19,894,1,1.0,106,2446.0
22,706,1,1.0,47,1913.0
65,1404,3,1.5,43,2130.0
19,1250,2,2.5,108,1830.0
14,570,1,1.0,138,2446.0
15,1100,3,1.0,100,1970.0
49,1750,3,2.5,144,1930.0
6,854,1,1.0,108,1913.0
26,1002,2,2.0,88,2125.0
14,1004,2,1.0,98,1890.0
29,1166,3,1.0,128,1606.0
22,1686,2,2.5,33,1527.0
40,2250,2,2.5,6,2155.0
13,1985,4,2.5,138,1867.0
12,795,2,1.0,54,2478.0
9,2142,2,2.5,30,1886.0
12,1607,3,2.5,167,2360.0
6,1013,2,1.0,41,1757.0
20,1555,2,2.0,88,2370.0
6,1035,2,1.0,118,1835.0
8,1113,2,1.0,17,2048.0
48,2309,2,3.0,118,1826.0
11,1620,3,1.5,108,2452.0
6,586,1,1.0,53,2127.0
6,1029,2,1.0,90,1832.0
6,3497,4,3.5,6,2144.0
38,967,2,1.0,152,1719.0
8,2300,3,2.5,15,2492.0
39,1296,2,1.5,14,2129.0
7,793,1,1.0,128,2150.0
8,901,2,1.0,128,1949.0
37,1325,2,2.0,7,2127.0
11,2080,2,3.0,30,2118.0
18,1114,2,2.0,6,2140.0
12,906,1,1.0,14,1938.0
21,2766,4,2.5,118,2062.0
68,1180,2,2.0,94,2476.0
12,1578,3,2.5,118,1880.0
6,947,2,1.0,113,2145.0
48,1717,2,2.0,89,2111.0
118,1434,3,2.0,32,1569.0
6,718,1,1.0,83,1810.0
70,904,2,1.0,98,1940.0
15,1872,3,2.0,103,2127.0
5,1539,2,1.5,34,1754.0
28,1138,2,2.0,138,2453.0
7,1705,3,2.0,40,1970.0
54,1329,3,2.0,118,1949.0
50,794,2,1.0,118,2155.0
45,765,1,1.0,43,2062.0
15,1319,3,2.0,115,1902.0
27,1486,2,2.0,50,1749.0
24,1350,2,2.5,27,2061.0
9,2250,2,2.5,2,1850.0
26,910,2,1.0,46,2453.0
62,700,1,1.0,12,1801.0
55,844,1,1.0,118,1864.0
18,1342,3,2.5,22,1852.0
4,641,2,1.0,108,2129.0
61,1136,2,2.0,118,2109.0
42,1080,2,1.0,118,1420.0
41,1048,2,1.0,168,2127.0
59,1524,3,1.5,39,2301.0
14,1033,2,2.0,138,2139.0
40,2300,2,2.5,32,1532.0
59,2255,2,2.5,15,2114.0
11,1530,2,2.0,53,2139.0
21,961,2,1.0,108,2140.0
30,1026,1,2.0,12,1604.0
42,1160,2,1.5,118,1432.0
37,1250,2,3.0,45,2333.0
42,1870,2,2.0,108,1720.0
24,1228,2,1.5,38,1949.0
4,2388,3,2.0,108,2210.0
60,1312,2,1.5,218,1501.0
3,1324,2,1.5,31,2370.0
8,1295,2,2.0,52,2131.0
59,2862,2,3.5,11,1863.0
75,1029,2,1.0,18,2190.0
25,2635,3,2.5,39,2110.0
42,1124,2,1.5,34,2720.0
66,905,2,1.0,98,2130.0
24,722,1,1.0,138,2045.0
49,906,2,2.0,88,2143.0
45,3135,3,3.0,18,2649.0
21,615,1,1.0,60,2601.0
17,1153,2,2.0,2,2130.0
19,1586,2,1.5,31,2720.0
31,724,1,1.0,93,1749.0
21,2196,2,2.5,12,2130.0
20,1240,2,1.5,13,2114.0
5,772,2,1.0,47,1748.0
26,845,2,2.0,44,1510.0
17,477,1,1.0,47,2474.0
55,882,1,1.5,118,2119.0
4,756,2,1.0,19,2143.0
47,1913,2,2.5,14,2045.0
66,1467,2,2.0,128,2143.0
52,1560,3,2.5,13,2144.0
46,858,3,1.0,28,2631.0
16,2149,3,3.0,19,2110.0
51,2750,3,3.5,2,1832.0
7,313,1,1.0,108,2458.0
18,1266,3,1.0,112,1826.0
25,1162,2,1.5,29,2184.0
49,995,2,2.0,122,1570.0
33,935,2,2.0,33,1606.0
21,1550,2,2.0,13,1749.0
92,1284,2,1.5,32,1879.0
23,831,2,1.0,118,1970.0
56,1728,3,1.5,28,1930.0
20,2207,3,2.5,9,2139.0
70,1092,2,1.5,35,2130.0
16,1052,2,1.5,42,1832.0
45,1869,3,1.5,33,2482.0
23,937,1,1.0,31,2118.0
17,782,2,1.0,47,2155.0
40,1256,3,2.0,118,2111.0
25,1172,2,1.5,138,1876.0
15,1779,2,1.0,14,2459.0
23,1164,2,2.0,44,1752.0
39,1829,2,3.5,17,2631.0
60,1828,2,1.5,13,1602.0
23,712,1,1.0,47,1844.0
55,2166,3,2.5,20,1867.0
11,1550,3,2.5,12,1852.0
1,1226,2,1.5,23,1524.0
43,1360,2,2.0,122,1970.0
27,1530,2,1.5,13,2127.0
21,598,1,1.0,39,2148.0
17,2365,3,3.5,3,1810.0
62,1552,3,1.0,93,2143.0
35,640,1,1.0,138,2478.0
12,1064,2,1.0,98,1588.0
17,780,2,1.0,63,2113.0
2,675,1,1.0,51,1570.0
17,704,1,1.0,33,1844.0
57,798,2,1.0,119,1970.0
30,1255,2,2.0,50,2129.0
62,1052,2,1.5,42,2140.0
16,1397,2,1.5,36,2114.0
32,1221,3,1.0,113,1721.0
56,1613,2,2.5,43,2453.0
28,1242,1,1.5,118,2143.0
61,1584,2,1.5,35,1830.0
37,1023,2,2.0,88,1748.0
53,1093,2,2.0,113,1880.0
16,2800,3,2.5,5,2109.0
24,1253,2,1.5,30,2346.0
19,2368,2,2.5,17,2066.0
63,1089,2,1.5,22,1826.0
65,1011,2,1.0,47,1719.0
22,1197,2,1.5,38,2649.0
12,716,1,1.0,8,2114.0
